Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Src IP
443,886259,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2566766599831425,886259.0,0.0,886259.0,886259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,1.1283383299915712,1.1283383299915712,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,20,-1,65535,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,20095091,11,13,447.0,4310.0,196.0,0.0,40.63636363636363,67.1867140545997,1460.0,0.0,331.53846153846155,569.9332731973418,236.72448161593297,1.194321538528987,873699.6086956521,4149843.1948299594,19910232.0,29.0,169289.0,16928.899999999998,19133.82568152828,48067.0,331.0,20095091.0,1674590.9166666665,5742769.573751683,19910232.0,355.0,0,0,0,0,220,276,0.5473973718257857,0.6469241667032013,0.0,1460.0,190.28000000000003,432.2885340448745,186873.37666666665,0,1,0,0,0,0,0,0,1.0,198.20833333333331,40.63636363636363,331.53846153846155,220,-1,64240,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,45833,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4550214910654,22916.5,27033.3993515429,42032.0,3801.0,0.0,0.0,0.0,0.0,0.0,45833.0,22916.5,27033.3993515429,42032.0,3801.0,0,0,0,0,0,60,0.0,65.4550214910654,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,-1,64239,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,124184,24,26,1417.0,20991.0,872.0,0.0,59.041666666666686,180.53434676625625,1460.0,0.0,807.3461538461538,670.1110321317024,180441.92488565357,402.628357920505,2534.3673469387754,6973.357153283123,47463.0,0.0,115162.0,5007.04347826087,11404.825834540638,55189.0,103.0,124102.0,4964.08,9824.68953674025,49969.0,0.0,0,0,0,0,480,536,193.26161180184243,209.36674611866263,0.0,1460.0,439.3725490196079,619.0485590253581,383221.1184313724,0,1,0,0,0,0,0,0,1.0,448.16,59.04166666666666,807.3461538461538,480,-1,64240,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,1095117,34,36,671.0,43893.0,629.0,0.0,19.73529411764705,107.89481657545122,1460.0,0.0,1219.25,494.7294426538321,40693.36883638918,63.92011081920928,15871.260869565218,95907.8479017063,781836.0,28.0,963172.0,29187.03030303032,136988.1586888728,781836.0,260.0,1095117.0,31289.05714285714,134491.870290045,785888.0,288.0,0,1,0,0,680,720,31.04691096933022,32.87319984987906,0.0,1460.0,629.0,701.009088997527,491413.7428571428,0,0,0,1,1,0,0,0,1.0,637.9857142857143,19.735294117647054,1219.25,680,-1,64240,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,112463,1,2,0.0,62.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,551.2924250642434,26.67543992246339,56231.5,79379.10014922064,112361.0,102.0,0.0,0.0,0.0,0.0,0.0,112463.0,112463.0,0.0,112463.0,112463.0,0,1,0,0,20,40,8.891813307487796,17.783626614975592,0.0,31.0,23.25,15.500000000000002,240.25000000000003,1,0,0,1,1,0,0,0,2.0,31.0,0.0,31.0,20,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,23753,0,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1305.0983033722057,84.19989054014229,23753.0,0.0,23753.0,23753.0,0.0,0.0,0.0,0.0,0.0,23753.0,23753.0,0.0,23753.0,23753.0,0,0,0,0,0,40,0.0,84.19989054014229,0.0,31.0,10.333333333333334,17.8978583448784,320.33333333333337,0,0,0,0,1,0,0,0,0.0,15.5,0.0,15.5,0,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,136421,1,2,0.0,62.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,454.4754839797392,21.990749224826093,68210.5,96327.0354806998,136324.0,97.0,0.0,0.0,0.0,0.0,0.0,136421.0,136421.0,0.0,136421.0,136421.0,0,1,0,0,20,40,7.330249741608697,14.660499483217396,0.0,31.0,23.25,15.500000000000002,240.25000000000003,0,0,0,1,1,0,0,0,2.0,31.0,0.0,31.0,20,-1,64240,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,1039093,19,18,936.0,9860.0,327.0,0.0,49.26315789473685,89.87636081817136,1460.0,0.0,547.7777777777778,614.1736251501405,10389.830361671187,35.607977341777875,28863.69444444445,68963.37201352176,319028.0,39.0,1001645.0,55646.94444444444,91278.09932641998,319028.0,327.0,1039038.0,61119.882352941175,98122.94958041311,347987.0,355.0,0,0,0,0,380,376,18.285177553885937,17.322799787891938,0.0,1460.0,284.1052631578948,491.4940152215259,241566.36699857755,0,1,0,0,0,0,0,0,0.0,291.7837837837838,49.26315789473684,547.7777777777778,380,-1,64240,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,2189789,21,22,1070.0,8005.0,331.0,0.0,50.95238095238095,87.6210455258759,1460.0,0.0,363.8636363636363,553.9292799502001,4144.234901170843,19.636595124005098,52137.83333333333,241856.3709296578,1573801.0,40.0,2141439.0,107071.95,346932.6737395168,1573801.0,110.0,2189583.0,104265.85714285714,340222.89772813435,1580763.0,464.0,0,0,0,0,420,456,9.589965060560628,10.046630063444468,0.0,1460.0,206.24999999999997,422.9648467992428,178899.26162790696,0,1,0,0,0,0,0,0,1.0,211.04651162790697,50.95238095238095,363.8636363636364,420,-1,64240,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
443,2641,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.2889057175312,2641.0,0.0,2641.0,2641.0,0.0,0.0,0.0,0.0,0.0,2641.0,2641.0,0.0,2641.0,2641.0,0,0,0,0,0,40,0.0,757.2889057175312,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,-1,64239,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
80,15419760,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4539629669981893,2569960.0,3019922.5217349534,8000118.0,40.0,14394821.0,3598705.25,3285048.947989398,8000118.0,387981.0,15419720.0,15419720.0,0.0,15419720.0,15419720.0,0,0,0,0,148,56,0.3242592621415638,0.1297037048566255,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,148,-1,64240,0,0,7031661.0,0.0,7031661.0,7031661.0,8000118.0,0.0,8000118.0,8000118.0,No Label,192.168.77.21
53,35846,0,2,0.0,157.0,0.0,0.0,0.0,0.0,118.0,39.0,78.5,55.86143571373726,4379.847123807398,55.794230876527365,35846.0,0.0,35846.0,35846.0,0.0,0.0,0.0,0.0,0.0,35846.0,35846.0,0.0,35846.0,35846.0,0,0,0,0,0,16,0.0,55.794230876527365,39.0,118.0,65.33333333333333,45.61067126598043,2080.333333333333,0,0,0,0,0,0,0,0,0.0,98.0,0.0,78.5,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.21
80,35780199,13320,7945,666000.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,0.0062932662051605,0.5609485807612186,18615.044594916868,594.3231338651862,1682.6654909706572,6449.549969690405,199801.0,0.0,35776372.0,2686.1154741346886,7994.245012454085,199801.0,0.0,35780199.0,4504.0532477341385,198396.27638357528,17684570.0,22.0,0,0,0,0,266400,158900,372.2729434791573,222.05019038602885,0.0,50.0,31.32229850465526,24.187931969334723,585.0560529531648,0,1,0,0,0,0,0,0,0.0,31.323771455443215,50.0,0.0062932662051604,266400,-1,0,13320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,192.168.77.11
