Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Src IP
0,108668717,19,1,0,0,0,0,0,0,0,0,0,0,0,0.184045607,5719406.158,15899685.83,67666917,998953,84666425,4703690.278,15713549.86,67666917,998953,0,0,0,0,0,0,0,0,0,0,0,0.174843327,0.00920228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,16999508,0,16999508,16999508,45834604.5,30875552.44,67666917,24002292,8.6.0.1
49816,24377516,390,392,558808,2786,1460,0,1432.841026,166.6138814,1460,0,7.107142857,83.06610777,23037.37592,32.0787401,31213.20871,324771.9431,7989398,0,22970539,59050.22879,454568.0943,7989465,0,24377516,62346.58824,457189.4933,7989480,38,0,0,0,0,7800,7840,15.99834864,16.08039146,0,1460,719.0983397,725.3536358,526137.897,0,0,0,0,1,0,0,0,1,720.0179028,1432.841026,7.107142857,7800,-1,0,389,0,24967,0,24967,24967,7989398,0,7989398,7989398,163.181.199.174
80,94275596,1800,2597,14018,3651163,335,0,7.787777778,50.39888104,1460,0,1405.915672,264.5174929,38877.30394,46.63985365,21445.76797,189138.6285,3077830,0,94228781,52378.4219,292995.257,3077830,39,91308903,35172.92103,238995.8535,3081951,0,0,0,0,0,36000,51956,19.09295805,27.54689559,0,1460,833.3744884,717.7337937,515141.7985,0,1,0,0,0,0,0,0,1,833.5640209,7.787777778,1405.915672,36000,-1,64240,42,0,0,0,0,0,0,0,0,0,192.168.77.21
80,18849707,694,697,333,1011770,333,0,0.479827089,12.64050714,1460,0,1451.606887,110.3252525,53693.30144,73.79425049,13560.94029,131806.6521,4099911,0,18701119,26985.7417,185699.5295,4099985,61,18849612,27082.77586,185357.0277,4099938,0,0,0,0,0,13880,13956,36.81754841,36.97670208,0,1460,727.0854885,730.0617253,532990.1228,0,1,0,0,0,0,0,0,1,727.6081955,0.479827089,1451.606887,13880,-1,64240,1,0,0,0,0,0,0,0,0,0,192.168.77.21
53,41917,0,2,0,173,0,0,0,0,133,40,86.5,65.76093065,4127.20376,47.71333826,41917,0,41917,41917,0,0,0,0,0,41917,41917,0,41917,41917,0,0,0,0,0,16,0,47.71333826,40,133,71,53.69357503,2883,0,0,0,0,0,0,0,0,0,106.5,0,86.5,0,-1,-1,0,0,0,0,0,0,0,0,0,0,192.168.77.21
80,18657986,252,288,1332,400541,333,0,5.285714286,41.70258137,1460,0,1390.767361,296.594794,21538.92708,28.94203051,34615.9295,248806.2191,3981069,0,18601724,74110.45418,360986.225,3981128,29,17969665,62612.07317,338879.1917,3981129,0,0,0,0,0,5040,5776,13.5062809,15.4357496,0,1460,742.8336414,725.4948159,526342.7278,0,1,0,0,0,0,0,0,1,744.2092593,5.285714286,1390.767361,5040,-1,64240,4,0,0,0,0,0,0,0,0,0,192.168.77.21
53,34099,0,2,0,137,0,0,0,0,93,44,68.5,34.64823228,4017.713129,58.65274641,34099,0,34099,34099,0,0,0,0,0,34099,34099,0,34099,34099,0,0,0,0,0,16,0,58.65274641,44,93,60.33333333,28.29016319,800.3333333,0,0,0,0,0,0,0,0,0,90.5,0,68.5,0,-1,-1,0,0,0,0,0,0,0,0,0,0,192.168.77.21
53,49688,0,2,0,548,0,0,0,0,501,47,274,321.0264787,11028.81984,40.25116728,49688,0,49688,49688,0,0,0,0,0,49688,49688,0,49688,49688,0,0,0,0,0,16,0,40.25116728,47,501,198.3333333,262.1170222,68705.33333,0,0,0,0,0,0,0,0,0,297.5,0,274,0,-1,-1,0,0,0,0,0,0,0,0,0,0,192.168.77.21
443,799564,23,23,900,16289,328,0,39.13043478,84.18502585,1460,0,708.2173913,661.2863468,21497.96639,57.53135459,17768.08889,38475.9078,211280,0,753811,34264.13636,61781.25053,211367,242,799511,36341.40909,51527.17026,211387,0,0,0,0,0,460,476,28.76567729,28.76567729,0,1460,365.7234043,572.2089046,327423.0305,0,1,0,0,0,0,0,0,1,373.673913,39.13043478,708.2173913,460,-1,64240,6,0,0,0,0,0,0,0,0,0,192.168.77.21
80,88428478,2424,3219,12293,4575742,334,0,5.071369637,40.74315153,1460,0,1421.479341,216.1296708,51884.13398,63.8142839,15673.25027,154396.5755,2643290,0,88417032,36490.7272,234056.0486,2643290,35,85785162,26657.91237,200046.7225,2395033,0,0,0,0,0,48480,64396,27.41198373,36.40230017,0,1460,812.9048547,720.4625018,519066.2165,0,1,0,0,0,0,0,0,1,813.0489102,5.071369637,1421.479341,48480,-1,64240,37,0,0,0,0,0,0,0,0,0,192.168.77.21
443,3094,0,2,0,0,0,0,0,0,0,0,0,0,0,646.4124111,3094,0,3094,3094,0,0,0,0,0,3094,3094,0,3094,3094,0,0,0,0,0,40,0,646.4124111,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,64239,0,0,0,0,0,0,0,0,0,0,192.168.77.21
53,40913,0,2,0,268,0,0,0,0,221,47,134,123.0365799,6550.485176,48.88421773,40913,0,40913,40913,0,0,0,0,0,40913,40913,0,40913,40913,0,0,0,0,0,16,0,48.88421773,47,221,105,100.4589468,10092,0,0,0,0,0,0,0,0,0,157.5,0,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,192.168.77.21
80,10688614,824,889,648,1275405,331,0,0.786407767,15.95636546,1460,0,1434.651294,129.4662549,119384.328,160.2639968,6243.349299,43003.84387,1084280,0,10524476,12787.94168,61269.08002,1084326,31,10688614,12036.72748,59150.43875,1084329,0,0,0,0,0,16480,17796,77.09137967,83.17261714,0,1460,744.4883314,722.7635297,522387.1198,0,1,0,0,0,0,0,0,1,744.9229422,0.786407767,1434.651294,16480,-1,64240,2,0,0,0,0,0,0,0,0,0,192.168.77.21
49817,14998991,637,631,903176,2453,1460,0,1417.858713,212.4770179,1460,0,3.88748019,62.37046273,60379.32818,84.53901999,11838.19337,102239.6235,1981655,0,13733344,21593.30818,137399.4409,1981705,0,14998991,23807.92222,144141.3129,1981706,20,0,0,0,0,12740,12620,42.46952345,42.06949654,0,1460,714.8061466,724.453571,524832.9766,0,0,0,0,1,0,0,0,0,715.3698738,1417.858713,3.88748019,12740,-1,0,635,0,0,0,0,0,0,0,0,0,199.232.214.172
80,94278209,1469,2194,16872,3084867,444,0,11.48536419,70.50512057,1460,0,1406.046946,243.9481568,32899.8507,38.85309277,25745.00519,208041.4043,3995588,0,94074535,64083.47071,324975.8578,3995687,41,91293411,41629.46238,262305.8587,3995631,0,0,0,0,0,29380,43896,15.58154334,23.27154942,0,1460,846.5444869,710.6125665,504970.2197,0,1,0,0,0,0,0,0,1,846.7755938,11.48536419,1406.046946,29380,-1,64240,38,0,0,0,0,0,0,0,0,0,192.168.77.21
80,1033229,143,2,7150,50,50,50,50,0,50,0,25,35.35533906,6968.445524,140.3367501,7175.201389,21814.26593,107475,0,933635,6574.894366,20535.21963,107475,0,1033229,1033229,0,1033229,1033229,0,0,0,0,2860,40,138.4010708,1.935679312,0,50,49.65753425,4.138029443,17.12328767,0,1,0,0,0,0,0,0,0,50,50,25,2860,-1,0,143,0,0,0,0,0,0,0,0,0,192.168.77.11
53,96279,0,2,0,152,0,0,0,0,113,39,76,52.32590181,1578.745105,20.77296191,96279,0,96279,96279,0,0,0,0,0,96279,96279,0,96279,96279,0,0,0,0,0,16,0,20.77296191,39,113,63.66666667,42.72391992,1825.333333,0,0,0,0,0,0,0,0,0,95.5,0,76,0,-1,-1,0,0,0,0,0,0,0,0,0,0,192.168.77.21
80,89966345,1560,2258,17273,3165409,443,0,11.0724359,69.16952993,1460,0,1401.864039,247.9864872,35376.36213,42.43809171,23569.90961,190000.7304,3087125,0,89707449,57541.66068,294130.4408,3087125,19,86879175,38493.21001,239519.2205,2056960,0,0,0,0,0,31200,45176,17.33981746,25.09827425,0,1460,833.3809898,711.2682699,505902.5518,0,1,0,0,0,0,0,0,1,833.5992666,11.0724359,1401.864039,31200,-1,64240,39,0,0,0,0,0,0,0,0,0,192.168.77.21
443,26225,0,2,0,0,0,0,0,0,0,0,0,0,0,76.26310772,26225,0,26225,26225,0,0,0,0,0,26225,26225,0,26225,26225,0,0,0,0,0,40,0,76.26310772,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,32767,0,0,0,0,0,0,0,0,0,0,192.168.77.21
443,124184,24,26,1417,20991,872,0,59.04166667,180.5343468,1460,0,807.3461538,670.1110321,180441.9249,402.6283579,2534.367347,6973.357153,47463,0,115162,5007.043478,11404.82583,55189,103,124102,4964.08,9824.689537,49969,0,0,0,0,0,480,536,193.2616118,209.3667461,0,1460,439.372549,619.048559,383221.1184,0,1,0,0,0,0,0,0,1,448.16,59.04166667,807.3461538,480,-1,64240,6,0,0,0,0,0,0,0,0,0,192.168.77.21
443,1095117,34,36,671,43893,629,0,19.73529412,107.8948166,1460,0,1219.25,494.7294427,40693.36884,63.92011082,15871.26087,95907.8479,781836,28,963172,29187.0303,136988.1587,781836,260,1095117,31289.05714,134491.8703,785888,288,0,1,0,0,680,720,31.04691097,32.87319985,0,1460,629,701.009089,491413.7429,0,0,0,1,1,0,0,0,1,637.9857143,19.73529412,1219.25,680,-1,64240,2,0,0,0,0,0,0,0,0,0,192.168.77.21
443,112463,1,2,0,62,0,0,0,0,31,31,31,0,551.2924251,26.67543992,56231.5,79379.10015,112361,102,0,0,0,0,0,112463,112463,0,112463,112463,0,1,0,0,20,40,8.891813307,17.78362661,0,31,23.25,15.5,240.25,1,0,0,1,1,0,0,0,2,31,0,31,20,-1,64240,0,0,0,0,0,0,0,0,0,0,192.168.77.21
443,23753,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,1305.098303,84.19989054,23753,0,23753,23753,0,0,0,0,0,23753,23753,0,23753,23753,0,0,0,0,0,40,0,84.19989054,0,31,10.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,15.5,0,15.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0,192.168.77.21
443,136421,1,2,0,62,0,0,0,0,31,31,31,0,454.475484,21.99074922,68210.5,96327.03548,136324,97,0,0,0,0,0,136421,136421,0,136421,136421,0,1,0,0,20,40,7.330249742,14.66049948,0,31,23.25,15.5,240.25,0,0,0,1,1,0,0,0,2,31,0,31,20,-1,64240,0,0,0,0,0,0,0,0,0,0,192.168.77.21
443,1039093,19,18,936,9860,327,0,49.26315789,89.87636082,1460,0,547.7777778,614.1736252,10389.83036,35.60797734,28863.69444,68963.37201,319028,39,1001645,55646.94444,91278.09933,319028,327,1039038,61119.88235,98122.94958,347987,355,0,0,0,0,380,376,18.28517755,17.32279979,0,1460,284.1052632,491.4940152,241566.367,0,1,0,0,0,0,0,0,0,291.7837838,49.26315789,547.7777778,380,-1,64240,7,0,0,0,0,0,0,0,0,0,192.168.77.21
443,2189789,21,22,1070,8005,331,0,50.95238095,87.62104553,1460,0,363.8636364,553.92928,4144.234901,19.63659512,52137.83333,241856.3709,1573801,40,2141439,107071.95,346932.6737,1573801,110,2189583,104265.8571,340222.8977,1580763,464,0,0,0,0,420,456,9.589965061,10.04663006,0,1460,206.25,422.9648468,178899.2616,0,1,0,0,0,0,0,0,1,211.0465116,50.95238095,363.8636364,420,-1,64240,8,0,0,0,0,0,0,0,0,0,192.168.77.21
443,2976734,11,11,2166,680,898,0,196.9090909,314.7927746,270,0,61.81818182,97.26542878,956.0813966,7.39065029,141749.2381,555806.8289,2563654,49,2942018,294201.8,798270.1721,2563654,511,2976656,297665.6,838400.8879,2682858,1604,0,0,0,0,220,236,3.695325145,3.695325145,0,898,123.7391304,233.7374629,54633.20158,0,1,0,0,0,0,0,0,1,129.3636364,196.9090909,61.81818182,220,-1,64240,6,0,0,0,0,0,0,0,0,0,192.168.77.21
