Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443,35533720,8,6,438,0,219,0,54.75,101.3773009,0,0,0,0,12.3263199,0.39399196,2733363.077,8146720.234,29697282,52,4825619,689374.1429,1101387.95,3022164,8831,35533720,7106744,14588307.72,33188976,105041,0,0,0,0,172,148,0.225138263,0.168853697,0,219,29.2,77.05860479,5938.028571,0,1,0,0,0,0,0,0,0,31.28571429,54.75,0,172,-1,64240,2,0,0,0,0,0,0,0,0,0
443,108426,0,2,0,0,0,0,0,0,0,0,0,0,0,18.44576024,108426,0,108426,108426,0,0,0,0,0,108426,108426,0,108426,108426,0,0,0,0,0,40,0,18.44576024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,64240,0,0,0,0,0,0,0,0,0,0
49763,64794686,1362,1365,1964954,1460,1460,1,1442.697504,150.3325028,1460,0,1.06959707,39.51723322,30348.38382,42.08678471,23769.1438,251901.902,7905210,0,64397244,47316.12344,354858.4102,7905270,0,64794686,47503.43548,354602.6675,7905286,32,0,0,0,0,27240,27300,21.02024231,21.0665424,0,1460,721.361437,729.2685189,531832.5727,0,0,0,0,1,0,0,0,1,721.6259626,1442.697504,1.06959707,27240,-1,64240,1362,0,15430969.5,14156443.93,25441087,5420852,6945767,1356857.303,7905210,5986324
80,3009784,1,1,0,0,0,0,0,0,0,0,0,0,0,0.664499512,3009784,0,3009784,3009784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.332249756,0.332249756,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,63460,0,0,0,0,0,0,0,0,0,0
49762,27891,1,2,0,0,0,0,0,0,0,0,0,0,0,107.561579,13945.5,19661.10405,27848,43,0,0,0,0,0,43,43,0,43,43,0,1,0,0,20,40,35.85385967,71.70771934,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,20,-1,63460,0,0,0,0,0,0,0,0,0,0
443,20062727,8,10,196,6450,196,0,24.5,69.29646456,1460,0,645,572.6517266,331.2610494,0.89718611,1180160.412,3233148.03,12391977,41,7621113,1088730.429,2201314.771,6008210,835,20062727,2229191.889,4275035.138,12392024,3625,0,0,0,0,160,216,0.398749382,0.498436728,0,1460,349.7894737,517.7588004,268074.1754,0,1,0,0,0,0,0,0,1,369.2222222,24.5,645,160,-1,64240,1,0,1662540,0,1662540,1662540,6008163,0,6008163,6008163
443,20210999,16,13,736,7869,213,0,46,71.97499566,1460,0,605.3076923,629.3101229,425.7582715,1.434862275,721821.3929,2862457.32,15231607,54,4810660,320710.6667,401030.8025,1290870,478,20210999,1684249.917,4326212.287,15231607,2882,0,0,0,0,320,276,0.791648152,0.643214123,0,1460,286.8333333,496.8487651,246858.6954,0,1,0,0,0,0,0,0,0,296.7241379,46,605.3076923,320,-1,64240,7,0,0,0,0,0,0,0,0,0
443,20417554,22,16,920,7769,196,0,41.81818182,60.95949972,1460,0,485.5625,615.8591797,425.5651779,1.861143602,551825.7838,1864686.599,11089078,47,9270144,441435.4286,685187.5528,2516205,920,20417554,1361170.267,2993292.66,11089078,3737,0,0,0,0,440,344,1.077504191,0.783639411,0,1460,222.7948718,448.4540216,201111.0094,0,1,0,0,0,0,0,0,0,228.6578947,41.81818182,485.5625,440,-1,64240,11,0,0,0,0,0,0,0,0,0
443,315324,0,2,0,31,0,0,0,0,31,0,15.5,21.92031022,98.31157793,6.342682447,315324,0,315324,315324,0,0,0,0,0,315324,315324,0,315324,315324,0,0,0,0,0,40,0,6.342682447,0,31,10.33333333,17.89785834,320.3333333,0,0,0,0,1,0,0,0,0,15.5,0,15.5,0,-1,64240,0,0,0,0,0,0,0,0,0,0
443,5000029,1,1,0,0,0,0,0,0,0,0,0,0,0,0.39999768,5000029,0,5000029,5000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.19999884,0.19999884,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,20,-1,63596,0,0,0,0,0,0,0,0,0,0
