Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
163.181.199.174-192.168.77.21-80-49814-6,163.181.199.174,80,192.168.77.21,49814,6,25/04/2025 04:40:25 PM,19005552,372,344,523840.0,3680.0,1460.0,0.0,1408.172043010753,231.2207320401761,1460.0,0.0,10.69767441860465,94.72859125104098,27756.09990175502,37.67320202012549,26581.191608391608,296000.3360442505,6806411.0,0.0,1.2198836E7,32880.95956873313,212504.42228523013,3001496.0,0.0,1.9005552E7,55409.7725947522,425847.7360013556,6806411.0,19.0,0,0,0,0,7440,6880,19.57322786520486,18.099974154920623,0.0,1460.0,737.768479776848,721.2610538328254,520217.5077760378,0,0,0,0,1,0,0,0,0.0,738.7988826815642,1408.1720430107528,10.69767441860465,0,0,0,0,0,0,372,523840,344,3680,-1,0,367,0,1.2199141E7,0.0,1.2199141E7,1.2199141E7,6806411.0,0.0,6806411.0,6806411.0,No Label
150.171.27.254-192.168.77.21-443-49811-6,192.168.77.21,49811,150.171.27.254,443,6,25/04/2025 04:40:27 PM,246376,1,2,0.0,321.0,0.0,0.0,0.0,0.0,239.0,82.0,160.5,111.01576464628796,1302.886644803065,12.176510699094067,123188.0,174105.2458773141,246299.0,77.0,0,0,0,0,0,246299.0,246299.0,0.0,246299.0,246299.0,0,1,0,0,20,40,4.058836899698022,8.117673799396044,0.0,239.0,100.75,99.94456796978346,9988.916666666666,0,0,0,1,1,0,0,0,2.0,134.33333333333334,0.0,160.5,0,0,0,0,0,0,1,0,2,321,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,25/04/2025 04:40:25 PM,108668717,19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18404560716401944,5719406.157894736,1.5899685825125936E7,6.7666917E7,998953.0,8.4666425E7,4703690.277777778,1.5713549858938988E7,6.7666917E7,998953.0,0,0,0,0,0,0,0,0,0,0,0,0.17484332680581846,0.00920228035820097,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,0,1,0,-1,-1,0,0,1.6999508E7,0.0,1.6999508E7,1.6999508E7,4.58346045E7,3.0875552435467653E7,6.7666917E7,2.4002292E7,No Label
163.181.199.174-192.168.77.21-80-49816-6,163.181.199.174,80,192.168.77.21,49816,6,25/04/2025 04:40:28 PM,24377516,390,392,558808.0,2786.0,1460.0,0.0,1432.841025641025,166.61388135176375,1460.0,0.0,7.107142857142857,83.06610777488953,23037.375916397716,32.078740098047724,31213.208706786147,324771.9430640104,7989398.0,0.0,2.2970539E7,59050.22879177379,454568.09431276156,7989465.0,0.0,2.4377516E7,62346.588235294206,457189.49331890995,7989480.0,38.0,0,0,0,0,7800,7840,15.998348642248866,16.08039145579886,0.0,1460.0,719.0983397190288,725.3536357988075,526137.8969665491,0,0,0,0,1,0,0,0,1.0,720.0179028132992,1432.8410256410257,7.107142857142857,0,0,0,0,0,0,390,558808,392,2786,-1,0,389,0,24967.0,0.0,24967.0,24967.0,7989398.0,0.0,7989398.0,7989398.0,No Label
192.168.77.21-23.33.126.135-49828-80-6,192.168.77.21,49828,23.33.126.135,80,6,25/04/2025 04:40:50 PM,94275596,1800,2597,14018.0,3651163.0,335.0,0.0,7.787777777777779,50.39888104093683,1460.0,0.0,1405.9156719291514,264.51749291317117,38877.303941944854,46.639853647809346,21445.76797088265,189138.62851604848,3077830.0,0.0,9.4228781E7,52378.42190105619,292995.25696198904,3077830.0,39.0,9.1308903E7,35172.9210323575,238995.85349523902,3081951.0,0.0,0,0,0,0,36000,51956,19.092958054595595,27.546895593213755,0.0,1460.0,833.3744884038204,717.7337936508665,515141.7985484646,0,1,0,0,0,0,0,0,1.0,833.5640209233568,7.7877777777777775,1405.915671929149,0,0,0,0,0,0,1800,14018,2597,3651163,-1,64240,42,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-23.33.126.135-49833-80-6,192.168.77.21,49833,23.33.126.135,80,6,25/04/2025 04:42:27 PM,18849707,694,697,333.0,1011770.0,333.0,0.0,0.4798270893371752,12.640507139718705,1460.0,0.0,1451.6068866571004,110.32525246658692,53693.30143964572,73.79425048888028,13560.940287769781,131806.65210780906,4099911.0,0.0,1.8701119E7,26985.741702741703,185699.52947986824,4099985.0,61.0,1.8849612E7,27082.775862068953,185357.02767446463,4099938.0,0.0,0,0,0,0,13880,13956,36.81754841069944,36.97670207818085,0.0,1460.0,727.0854885057468,730.0617253415464,532990.1228086756,0,1,0,0,0,0,0,0,1.0,727.608195542775,0.47982708933717577,1451.6068866571018,0,0,0,0,0,0,694,333,697,1011770,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-49552-53-17,192.168.77.21,49552,8.8.8.8,53,17,25/04/2025 04:40:32 PM,41917,0,2,0.0,173.0,0,0,0,0,133.0,40.0,86.5,65.76093065034893,4127.203759811055,47.71333826371162,41917.0,0.0,41917.0,41917.0,0,0,0,0,0,41917.0,41917.0,0.0,41917.0,41917.0,0,0,0,0,0,16,0.0,47.71333826371162,40.0,133.0,71.0,53.693575034635195,2883.0,0,0,0,0,0,0,0,0,0.0,106.5,0.0,86.5,0,0,0,0,0,0,0,0,2,173,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-23.33.126.135-49823-80-6,192.168.77.21,49823,23.33.126.135,80,6,25/04/2025 04:40:30 PM,18657986,252,288,1332.0,400541.0,333.0,0.0,5.285714285714286,41.70258137229951,1460.0,0.0,1390.7673611111104,296.5947939916969,21538.92708462746,28.94203050640085,34615.92949907235,248806.21912299798,3981069.0,0.0,1.8601724E7,74110.45418326693,360986.22502048034,3981128.0,29.0,1.7969665E7,62612.073170731725,338879.1916760693,3981129.0,0.0,0,0,0,0,5040,5776,13.506280902987063,15.435749603413786,0.0,1460.0,742.8336414048059,725.4948158526863,526342.7278291231,0,1,0,0,0,0,0,0,1.0,744.2092592592593,5.285714285714286,1390.767361111111,0,0,0,0,0,0,252,1332,288,400541,-1,64240,4,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-59119-53-17,192.168.77.21,59119,8.8.8.8,53,17,25/04/2025 04:40:29 PM,34099,0,2,0.0,137.0,0,0,0,0,93.0,44.0,68.5,34.64823227814083,4017.7131294172855,58.65274641485088,34099.0,0.0,34099.0,34099.0,0,0,0,0,0,34099.0,34099.0,0.0,34099.0,34099.0,0,0,0,0,0,16,0.0,58.65274641485088,44.0,93.0,60.33333333333333,28.29016319029166,800.3333333333333,0,0,0,0,0,0,0,0,0.0,90.5,0.0,68.5,0,0,0,0,0,0,0,0,2,137,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.77.21-8.8.8.8-53673-53-17,192.168.77.21,53673,8.8.8.8,53,17,25/04/2025 04:41:04 PM,49688,0,2,0.0,548.0,0,0,0,0,501.0,47.0,274.0,321.02647865869255,11028.819835775237,40.25116728385123,49688.0,0.0,49688.0,49688.0,0,0,0,0,0,49688.0,49688.0,0.0,49688.0,49688.0,0,0,0,0,0,16,0.0,40.25116728385123,47.0,501.0,198.33333333333334,262.1170222120901,68705.33333333334,0,0,0,0,0,0,0,0,0.0,297.5,0.0,274.0,0,0,0,0,0,0,0,0,2,548,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
