Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443,5843351,82,90,22190,23300,1392,0,270.6097561,427.0081607,1392,0,258.8888889,487.0669945,7784.916566,29.43516486,34171.64327,165544.5437,1968487,0,5719221,70607.66667,241158.0271,1986568,0,5843351,65655.62921,240568.0548,2046937,0,0,0,0,0,1652,1824,14.03304371,15.40212115,0,1392,262.9479769,457.2319429,209061.0496,0,1,0,0,0,0,0,0,1,264.4767442,270.6097561,258.8888889,1652,-1,648,54,0,0,0,0,0,0,0,0,0
443,29101,0,2,0,1,0,0,0,0,1,0,0.5,0.707106781,34.36308031,68.72616061,29101,0,29101,29101,0,0,0,0,0,29101,29101,0,29101,29101,0,0,0,0,0,52,0,68.72616061,0,1,0.666666667,0.577350269,0.333333333,0,0,0,0,1,0,0,0,0,1,0,0.5,0,-1,291,0,0,0,0,0,0,0,0,0,0
123,24657,0,2,0,96,0,0,0,0,48,48,48,0,3893.417691,81.11286856,24657,0,24657,24657,0,0,0,0,0,24657,24657,0,24657,24657,0,0,0,0,0,16,0,81.11286856,48,48,48,0,0,0,0,0,0,0,0,0,0,0,72,0,48,0,-1,-1,0,0,0,0,0,0,0,0,0,0
5353,4014825,2,1,224,112,112,112,112,0,112,112,112,0,83.68982459,0.747230577,2007412.5,1294632.613,2922856,1091969,2922856,2922856,0,2922856,2922856,0,0,0,0,0,0,0,0,0,16,8,0.498153718,0.249076859,112,112,112,0,0,0,0,0,0,0,0,0,0,0,149.3333333,112,112,16,-1,-1,2,0,0,0,0,0,0,0,0,0
443,238878,1,3,0,60,0,0,0,0,32,0,20,17.43559577,251.1742396,16.7449493,79626,72955.36055,163362,29777,0,0,0,0,0,193139,96569.5,94458.85936,163362,29777,0,1,0,0,20,60,4.186237326,12.55871198,0,32,18.4,16.87601849,284.8,0,0,0,1,1,0,0,0,3,23,0,20,20,-1,311,0,0,0,0,0,0,0,0,0,0
57858,59,0,2,0,0,0,0,0,0,0,0,0,0,0,33898.30508,59,0,59,59,0,0,0,0,0,59,59,0,59,59,0,0,0,0,0,40,0,33898.30508,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,512,0,0,0,0,0,0,0,0,0,0
443,10926700,68,82,19365,17629,1392,0,284.7794118,453.2279202,1392,0,214.9878049,455.9808718,3385.651661,13.72784098,73333.55705,530912.9377,4792961,0,6007768,89668.1791,550437.681,4501163,0,10926700,134897.5309,721142.0739,4792961,0,0,0,0,0,1360,1664,6.223287909,7.504553067,0,1392,244.9933775,453.4735052,205638.22,0,1,0,0,0,0,0,0,1,246.6266667,284.7794118,214.9878049,1360,-1,539,47,0,0,0,0,0,0,0,0,0
54685,10991321,8,9,1326,245,541,0,165.75,227.3328271,101,0,27.22222222,41.7904827,142.9309543,1.546674872,686957.5625,1180280.163,3037001,21728,7889009,1127001.286,1363537.258,3083338,50960,10991321,1373915.125,1429330.086,3083451,41079,0,1,0,0,160,180,0.727846999,0.818827873,0,541,90.94444444,164.0779844,26921.58497,0,0,0,1,1,0,0,0,1,96.29411765,165.75,27.22222222,160,-1,514,6,0,0,0,0,0,0,0,0,0
443,244372,1,3,0,60,0,0,0,0,32,0,20,17.43559577,245.5273108,16.36848739,81457.33333,30041.21659,109709,49900,0,0,0,0,0,194472,97236,17639.48576,109709,84763,0,1,0,0,20,60,4.092121847,12.27636554,0,32,18.4,16.87601849,284.8,0,0,0,1,1,0,0,0,3,23,0,20,20,-1,311,0,0,0,0,0,0,0,0,0,0
57855,9772945,5,4,142,78,44,0,28.4,17.79887637,42,0,19.5,22.64950331,22.51112638,0.920909716,1221618.125,3391973.909,9616138,0,9708570,2427142.5,4820951.316,9658545,0,156807,52269,47090.03118,93732,1073,0,1,0,0,100,80,0.511616509,0.409293207,0,44,26.2,19.03096891,362.1777778,0,0,0,1,1,0,0,0,0,29.11111111,28.4,19.5,100,-1,513,4,0,156807,0,156807,156807,9616138,0,9616138,9616138
57852,791169,10,8,176,3281,44,0,17.6,19.43193248,1392,0,410.125,622.5437305,4369.483638,22.75114419,46539.35294,95060.19937,395769,0,666615,74068.33333,124812.9297,395769,0,336687,48098.14286,66150.94433,165517,0,0,0,0,0,200,160,12.63952455,10.11161964,0,1392,181.9473684,436.911442,190891.6082,0,0,0,0,1,0,0,0,0,192.0555556,17.6,410.125,200,-1,515,5,0,0,0,0,0,0,0,0,0
443,162172,9,14,4253,6132,1250,31,472.5555556,585.9684529,1250,24,438,524.6856935,64036.94843,141.8247293,7371.454545,14810.70937,49569,0,113745,14218.125,20692.19562,50867,21,162172,12474.76923,17926.20585,49910,0,0,0,0,0,72,112,55.4966332,86.3280961,24,1250,484.7916667,549.4365477,301880.5199,0,0,0,0,0,0,0,0,1,505.8695652,472.5555556,438,72,-1,-1,9,0,0,0,0,0,0,0,0,0
54684,789877,9,8,328,94,45,0,36.44444444,14.60403293,62,0,11.75,23.18712697,534.2603975,21.52233829,49367.3125,76660.71262,242699,0,706686,88335.75,175042.9257,517642,0,789877,112839.5714,94288.04178,245102,108,0,1,0,0,180,172,11.39417909,10.12815919,0,62,26.88888889,23.46183105,550.4575163,0,0,0,1,1,0,0,0,0,28.47058824,36.44444444,11.75,180,-1,516,8,0,0,0,0,0,0,0,0,0
53,65664,4,5,39,79,37,0,9.75,18.19111505,79,0,15.8,35.32987404,1797.02729,137.0614035,8208,11610.37621,25604,0,40413,13471,23085.74684,40128,72,65252,16313,12150.15934,26088,0,0,0,0,0,80,124,60.91617934,76.14522417,0,79,11.8,26.29237321,691.2888889,0,1,0,0,0,0,0,0,1,13.11111111,9.75,15.8,80,-1,1054,2,0,0,0,0,0,0,0,0,0
53,87341,4,5,39,113,37,0,9.75,18.19111505,113,0,22.6,50.53513629,1740.30524,103.0443892,10917.625,14699.49134,29516,0,57694,19231.33333,33150.32311,57510,51,86226,21556.5,14430.94216,29818,0,0,0,0,0,80,124,45.79750633,57.24688291,0,113,15.2,36.25771948,1314.622222,0,1,0,0,0,0,0,0,1,16.88888889,9.75,22.6,80,-1,1054,2,0,0,0,0,0,0,0,0,0
