No.,Time,Source,Destination,Protocol,Length,Info,Tcp Flags,Source MAC,Destination MAC,Source IP ARP,Destination IP ARP,Time to live,Flags,Delta time,Frame length,Label
3652,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3630#11] 49961  >  80 [ACK] Seq=879 Ack=229145 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,5.90E-05,54,0
3653,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=214546 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.001563,1514,0
3654,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3630#12] 49961  >  80 [ACK] Seq=879 Ack=229145 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.90E-05,54,0
3655,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=216006 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000497,1514,0
3656,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3630#13] 49961  >  80 [ACK] Seq=879 Ack=229145 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.70E-05,54,0
3657,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=221846 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002658,1514,0
3658,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3630#14] 49961  >  80 [ACK] Seq=879 Ack=229145 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,3.90E-05,54,0
3659,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=223306 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000374,1514,0
3660,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3630#15] 49961  >  80 [ACK] Seq=879 Ack=229145 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,4.90E-05,54,0
3661,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=224766 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.002507,1514,0
3662,31:41.2,192.168.77.21,199.232.210.172,TCP,54,[TCP Dup ACK 3630#16] 49961  >  80 [ACK] Seq=879 Ack=229145 Win=64240 Len=0,\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,50:00:00:06:00:00,aa:bb:cc:00:10:10,,,128,0x4000,6.00E-05,54,0
3663,31:41.2,199.232.210.172,192.168.77.21,TCP,1514,[TCP Spurious Retransmission] 80  >  49961 [ACK] Seq=226226 Ack=879 Win=64240 Len=1460 [TCP segment of a reassembled PDU],\302\267\302\267\302\267\302\267\302\267\302\267\302\267A\302\267\302\267\302\267\302\267,aa:bb:cc:00:10:10,50:00:00:06:00:00,,,127,0x0000,0.000415,1514,0
